,run_id,name,distance,moving_time,elapsed_time,type,start_date,start_date_local,location_country,average_heartrate,average_speed
83,9223370340740776807,run from keep,6125.4404296875,00:41:43,00:41:43,Run,2023-09-30 22:04:56,2023-10-01 06:04:56,"{'latitude': 29.31010576002092, 'longitude': 108.60381570510282, 'country': '中国', 'nationCode': '156', 'province': '重庆市', 'city': '重庆市', 'cityCode': '023', 'district': '黔江区', 'districtCode': '500114'}",163.0,6''48
82,9223370340652243807,run from keep,7283.06689453125,00:46:37,00:46:38,Run,2023-10-01 22:35:34,2023-10-02 06:35:34,"{'latitude': 29.310233280957206, 'longitude': 108.60392764469941, 'country': '中国', 'nationCode': '156', 'province': '重庆市', 'city': '重庆市', 'cityCode': '023', 'district': '黔江区', 'districtCode': '500114'}",164.0,6''24
81,9223370340342481251,run from keep,10100.84751852702,01:05:38,01:05:42,Run,2023-10-05 12:19:12,2023-10-05 20:19:12,"{'latitude': 30.31817037016854, 'longitude': 120.23891217896511, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",158.0,6''29
80,9223370340259636807,run from keep,6188.799707361523,01:20:35,01:20:35,Run,2023-10-06 11:05:03,2023-10-06 19:05:03,"{'latitude': 30.31805396937032, 'longitude': 120.23937393924994, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",84.0,13''1
79,9223370340217637458,run from keep,10324.154394447096,01:11:58,01:12:01,Run,2023-10-06 22:53:37,2023-10-07 06:53:37,"{'latitude': 30.31859573304752, 'longitude': 120.24068684671961, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",161.0,6''58
78,9223370340097477607,run from keep,2990.348885875967,00:51:16,00:59:19,Run,2023-10-08 08:28:59,2023-10-08 16:28:59,"{'latitude': 30.31817442876132, 'longitude': 120.23809184097571, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",78.0,17''8
77,9223370340084880707,run from keep,5343.290045890436,00:58:42,00:58:41,Run,2023-10-08 11:59:33,2023-10-08 19:59:33,"{'latitude': 30.318363299546142, 'longitude': 120.23899854550527, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",108.0,10''59
76,9223370339963149993,run from keep,7218.074948545981,00:47:32,00:47:33,Run,2023-10-09 21:59:32,2023-10-10 05:59:32,"{'latitude': 30.318473400170483, 'longitude': 120.2395296680148, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",166.0,6''35
75,9223370339790010394,run from keep,6307.579494863749,00:42:00,00:42:02,Run,2023-10-11 22:10:43,2023-10-12 06:10:43,"{'latitude': 30.31847906374568, 'longitude': 120.23943625125268, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",155.0,6''39
74,9223370339615671255,run from keep,6286.8542779842255,00:41:28,00:41:30,Run,2023-10-13 22:36:54,2023-10-14 06:36:54,"{'latitude': 30.31819303909205, 'longitude': 120.23895101566329, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",158.0,6''35
73,9223370339525970276,run from keep,8343.29719534264,00:51:49,00:51:57,Run,2023-10-14 23:21:28,2023-10-15 07:21:28,"{'latitude': 30.318272417959662, 'longitude': 120.23943539490861, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",164.0,6''12
72,9223370338919389070,run from keep,10263.745205119252,01:02:24,01:02:25,Run,2023-10-21 23:40:41,2023-10-22 07:40:41,"{'latitude': 30.319228333929775, 'longitude': 120.23954532503967, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",162.0,6''4
71,9223370338839530477,run from keep,7066.215270421468,00:42:54,00:42:56,Run,2023-10-22 22:11:09,2023-10-23 06:11:09,"{'latitude': 30.3192927772303, 'longitude': 120.23949206464813, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",168.0,6''4
